"category","object_type","display_name","script_path","model_path","source_count","historical_faction_guess","countries","source_missions"
"static_target","Block","Block","LuaScripts\WorldObjects\Blocks\kor_hospital_01.txt","graphics\blocks\kor_hospital_01.mgm","51","terrain/static","0","C:\Program Files\IL2Series\game\data\Missions\[DEMO]BlackThursday.Mission; C:\Program Files\IL2Series\game\data\Missions\[DEMO]InchonStrike.Mission; C:\Program Files\IL2Series\game\data\Missions\_gen.Mission"
"static_target","Block","Block","LuaScripts\WorldObjects\Blocks\kor_hospital_02.txt","graphics\blocks\kor_hospital_02.mgm","101","terrain/static","0","C:\Program Files\IL2Series\game\data\Missions\[DEMO]BlackThursday.Mission; C:\Program Files\IL2Series\game\data\Missions\[DEMO]InchonStrike.Mission; C:\Program Files\IL2Series\game\data\Missions\_gen.Mission"
"static_target","Block","Block","LuaScripts\WorldObjects\Blocks\kor_school_02.txt","graphics\blocks\kor_school_02.mgm","53","terrain/static","0","C:\Program Files\IL2Series\game\data\Missions\[DEMO]BlackThursday.Mission; C:\Program Files\IL2Series\game\data\Missions\[DEMO]InchonStrike.Mission; C:\Program Files\IL2Series\game\data\Missions\_gen.Mission"
"static_target","Block","Block","LuaScripts\WorldObjects\Blocks\kor_school_03.txt","graphics\blocks\kor_school_03.mgm","176","terrain/static","0,503","C:\Program Files\IL2Series\game\data\Missions\[DEMO]BlackThursday.Mission; C:\Program Files\IL2Series\game\data\Missions\[DEMO]InchonStrike.Mission; C:\Program Files\IL2Series\game\data\Missions\_gen.Mission"
"static_target","Block","Block","LuaScripts\WorldObjects\Blocks\kor_stores_corn_2_3.txt","graphics\blocks\kor_stores_corn_2_3.mgm","116","terrain/static","0","C:\Program Files\IL2Series\game\data\Missions\[DEMO]BlackThursday.Mission; C:\Program Files\IL2Series\game\data\Missions\[DEMO]InchonStrike.Mission; C:\Program Files\IL2Series\game\data\Missions\_gen.Mission"
"static_target","Block","Block","LuaScripts\WorldObjects\Blocks\kor_stores_line_02.txt","graphics\blocks\kor_stores_line_02.mgm","334","terrain/static","0","C:\Program Files\IL2Series\game\data\Missions\[DEMO]BlackThursday.Mission; C:\Program Files\IL2Series\game\data\Missions\[DEMO]InchonStrike.Mission; C:\Program Files\IL2Series\game\data\Missions\_gen.Mission"
"static_target","Block","Block","LuaScripts\WorldObjects\Blocks\kor_stores_line_03.txt","graphics\blocks\kor_stores_line_03.mgm","247","terrain/static","0","C:\Program Files\IL2Series\game\data\Missions\[DEMO]BlackThursday.Mission; C:\Program Files\IL2Series\game\data\Missions\[DEMO]InchonStrike.Mission; C:\Program Files\IL2Series\game\data\Missions\_gen.Mission"
"static_target","Block","Block","LuaScripts\WorldObjects\Blocks\kor_stores_line_10.txt","graphics\blocks\kor_stores_line_10.mgm","58","terrain/static","0","C:\Program Files\IL2Series\game\data\Missions\[DEMO]BlackThursday.Mission; C:\Program Files\IL2Series\game\data\Missions\[DEMO]InchonStrike.Mission; C:\Program Files\IL2Series\game\data\Missions\_gen.Mission"
"static_target","Block","Block","LuaScripts\WorldObjects\Blocks\kor_stores_line_05.txt","graphics\blocks\kor_stores_line_05.mgm","176","terrain/static","0","C:\Program Files\IL2Series\game\data\Missions\[DEMO]BlackThursday.Mission; C:\Program Files\IL2Series\game\data\Missions\[DEMO]InchonStrike.Mission; C:\Program Files\IL2Series\game\data\Missions\_gen.Mission"
"static_target","Block","Block","LuaScripts\WorldObjects\Blocks\Mil_watertower_01.txt","graphics\blocks\mil_watertower_01.mgm","294","terrain/static","0,503,601","C:\Program Files\IL2Series\game\data\Missions\[DEMO]BlackThursday.Mission; C:\Program Files\IL2Series\game\data\Missions\[DEMO]InchonStrike.Mission; C:\Program Files\IL2Series\game\data\Missions\_gen.Mission"
